,keyword,category,Explanation
83,boylover,Child Sexual Exploitation,
84,brazuquinha,Child Sexual Exploitation,
85,cambodian,Child Sexual Exploitation,
86,change,Child Sexual Exploitation,
87,child,Child Sexual Exploitation,
88,childfugga,Child Sexual Exploitation,
89,childlover,Child Sexual Exploitation,
90,childs,Child Sexual Exploitation,
91,childsex,Child Sexual Exploitation,
92,ck,Child Sexual Exploitation,
93,company,Child Sexual Exploitation,
94,cries,Child Sexual Exploitation,
95,cum,Child Sexual Exploitation,
96,daughter,Child Sexual Exploitation,
97,desidee,Child Sexual Exploitation,
98,diaper,Child Sexual Exploitation,
99,doggyfuck,Child Sexual Exploitation,
100,doughter,Child Sexual Exploitation,
101,eine,Child Sexual Exploitation,
102,elli,Child Sexual Exploitation,
103,eurololita,Child Sexual Exploitation,
104,furs,Child Sexual Exploitation,
105,gebusch,Child Sexual Exploitation,
106,girl,Child Sexual Exploitation,
107,girls,Child Sexual Exploitation,
108,harrier,Child Sexual Exploitation,
109,hussyfa,Child Sexual Exploitation,
110,hussyfan,Child Sexual Exploitation,
111,hussyfun,Child Sexual Exploitation,
112,hyman,Child Sexual Exploitation,
113,illegal,Child Sexual Exploitation,
114,inces,Child Sexual Exploitation,
115,incest,Child Sexual Exploitation,
116,infant,Child Sexual Exploitation,
117,inga,Child Sexual Exploitation,
118,inna,Child Sexual Exploitation,
119,island,Child Sexual Exploitation,
120,island03,Child Sexual Exploitation,
121,jackie,Child Sexual Exploitation,
122,jailbait,Child Sexual Exploitation,
123,jenniefer,Child Sexual Exploitation,
124,jenny,Child Sexual Exploitation,
125,jho,Child Sexual Exploitation,
126,jpg,Child Sexual Exploitation,
127,jr,Child Sexual Exploitation,
128,kacy,Child Sexual Exploitation,
129,kdquality,Child Sexual Exploitation,
130,kdv,Child Sexual Exploitation,
131,kiddy,Child Sexual Exploitation,
132,kids,Child Sexual Exploitation,
133,kidzilla,Child Sexual Exploitation,
134,kinderﬁcker,Child Sexual Exploitation,
135,kindergarden,Child Sexual Exploitation,
136,kingpass,Child Sexual Exploitation,
137,kissie,Child Sexual Exploitation,
138,kleuterkutje,Child Sexual Exploitation,
139,kurahashi,Child Sexual Exploitation,
140,la2,Child Sexual Exploitation,
141,laika,Child Sexual Exploitation,
142,landﬁll,Child Sexual Exploitation,
143,liluplanet,Child Sexual Exploitation,
144,little,Child Sexual Exploitation,
145,lolalover,Child Sexual Exploitation,
146,lolifuck,Child Sexual Exploitation,
147,lolita,Child Sexual Exploitation,
148,lolita2,Child Sexual Exploitation,
149,lolitaguy,Child Sexual Exploitation,
150,lordofthering,Child Sexual Exploitation,
151,ls,Child Sexual Exploitation,
152,lsbar,Child Sexual Exploitation,
153,lsm,Child Sexual Exploitation,
154,lsn,Child Sexual Exploitation,
155,lso,Child Sexual Exploitation,
156,lsp,Child Sexual Exploitation,
157,lsw,Child Sexual Exploitation,
158,lucie,Child Sexual Exploitation,
159,luto,Child Sexual Exploitation,
160,madnet,Child Sexual Exploitation,
161,maﬁasex,Child Sexual Exploitation,
162,magazine,Child Sexual Exploitation,
163,map,Child Sexual Exploitation,
164,mara,Child Sexual Exploitation,
165,maryanne,Child Sexual Exploitation,
166,mellony,Child Sexual Exploitation,
167,model,Child Sexual Exploitation,
168,moscow,Child Sexual Exploitation,
169,mpg,Child Sexual Exploitation,
170,mylola,Child Sexual Exploitation,
171,nablot,Child Sexual Exploitation,
172,nancy,Child Sexual Exploitation,
173,nansy,Child Sexual Exploitation,
174,new,Child Sexual Exploitation,
175,newcaps,Child Sexual Exploitation,
176,newer,Child Sexual Exploitation,
177,newstar,Child Sexual Exploitation,
178,nimbus,Child Sexual Exploitation,
179,nimphets,Child Sexual Exploitation,
180,nn,Child Sexual Exploitation,
181,nobull,Child Sexual Exploitation,
182,november,Child Sexual Exploitation,
183,novinhas,Child Sexual Exploitation,
184,nude,Child Sexual Exploitation,
185,nude01,Child Sexual Exploitation,
186,nudis,Child Sexual Exploitation,
187,old,Child Sexual Exploitation,
188,olds,Child Sexual Exploitation,
189,pae,Child Sexual Exploitation,
190,pak,Child Sexual Exploitation,
191,pedo,Child Sexual Exploitation,
192,pedoﬁlia,Child Sexual Exploitation,
193,peepee,Child Sexual Exploitation,
194,petersburg,Child Sexual Exploitation,
195,phantom,Child Sexual Exploitation,
196,playtoy,Child Sexual Exploitation,
197,porn,Child Sexual Exploitation,
198,pre,Child Sexual Exploitation,
199,preteen,Child Sexual Exploitation,
200,preteenz,Child Sexual Exploitation,
201,pretten,Child Sexual Exploitation,
202,private,Child Sexual Exploitation,
203,prt,Child Sexual Exploitation,
204,pt,Child Sexual Exploitation,
205,ptﬀ,Child Sexual Exploitation,
206,pthc,Child Sexual Exploitation,
207,ptsc,Child Sexual Exploitation,
208,pussy,Child Sexual Exploitation,
209,qqaazz,Child Sexual Exploitation,
210,qsh,Child Sexual Exploitation,
211,rape,Child Sexual Exploitation,
212,rar,Child Sexual Exploitation,
213,rbv,Child Sexual Exploitation,
214,reallola,Child Sexual Exploitation,
215,rebone,Child Sexual Exploitation,
216,rizmastar,Child Sexual Exploitation,
217,sandra,Child Sexual Exploitation,
218,sex,Child Sexual Exploitation,
219,soﬁe,Child Sexual Exploitation,
220,spam,Child Sexual Exploitation,
221,spreading,Child Sexual Exploitation,
222,st,Child Sexual Exploitation,
223,step,Child Sexual Exploitation,
224,suwano,Child Sexual Exploitation,
225,teal,Child Sexual Exploitation,
226,teen,Child Sexual Exploitation,
227,thor,Child Sexual Exploitation,
228,tochter,Child Sexual Exploitation,
229,tori,Child Sexual Exploitation,
230,torture,Child Sexual Exploitation,
231,u15,Child Sexual Exploitation,
232,ultra,Child Sexual Exploitation,
233,underage,Child Sexual Exploitation,
234,until,Child Sexual Exploitation,
235,uvs,Child Sexual Exploitation,
236,v10040,Child Sexual Exploitation,
237,v132,Child Sexual Exploitation,
238,valya,Child Sexual Exploitation,
239,vater,Child Sexual Exploitation,
240,vdbest,Child Sexual Exploitation,
241,ver,Child Sexual Exploitation,
242,vicky,Child Sexual Exploitation,
243,weekend,Child Sexual Exploitation,
244,witch,Child Sexual Exploitation,
245,xlola,Child Sexual Exploitation,
246,yamad,Child Sexual Exploitation,
247,ye,Child Sexual Exploitation,
248,yelitza,Child Sexual Exploitation,
249,yg,Child Sexual Exploitation,
250,ygold,Child Sexual Exploitation,
251,young,Child Sexual Exploitation,
252,1yo,Child Sexual Exploitation,
253,2yo,Child Sexual Exploitation,
254,2yo,Child Sexual Exploitation,
255,4yo,Child Sexual Exploitation,
256,5yo,Child Sexual Exploitation,
257,6yo,Child Sexual Exploitation,
258,7yo,Child Sexual Exploitation,
259,8yo,Child Sexual Exploitation,
260,9yo,Child Sexual Exploitation,
261,10yo,Child Sexual Exploitation,
262,11yo,Child Sexual Exploitation,
263,12yo,Child Sexual Exploitation,
264,13yo,Child Sexual Exploitation,
265,ezik007,Child Sexual Exploitation,
266,zadoom,Child Sexual Exploitation,
267,vtcap,Child Sexual Exploitation,
268,extremep2p,Child Sexual Exploitation,
269,rbv,Child Sexual Exploitation,
270,beerbarrell,Child Sexual Exploitation,
271,Stepdaughter,Child Sexual Exploitation,
272,Stepfather,Child Sexual Exploitation,
273,Humiliation,Child Sexual Exploitation,
274,Destroyed,Child Sexual Exploitation,
275,"Deepfake, fake porn",Child Sexual Exploitation,
276,"Stalker, Stalking",Child Sexual Exploitation,
277,Harassment,Child Sexual Exploitation,
278,cyberstalking,Child Sexual Exploitation,
279,Trolling,Child Sexual Exploitation,
280,indecent,Child Sexual Exploitation,
281,Infadel,Radicalization,
282,isis,Radicalization,
283,guntrader,Radicalization,
284,hamas,Radicalization,
285,rockets,Radicalization,
286,hezzbollah,Radicalization,
287,patriots,Radicalization,
288,twin towers,Radicalization,
289,AQ,Radicalization,
290,AQ-I,Radicalization,
291,AQ-A,Radicalization,
292,En,Radicalization,
293,serbest,Radicalization,
294,eyalette,Radicalization,
295,bomba,Radicalization,
296,atara,Radicalization,
297,izin,Radicalization,
298,veriyolar,Radicalization,
299,attığı,Radicalization,
300,mühimmat,Radicalization,
301,sahte,Radicalization,
302,boş,Radicalization,
303,bomba,Radicalization,
304,free state,Radicalization,
305,3d gun,Radicalization,
306,gun,Radicalization,
307,Humza,Radicalization,
308,militant Muslims,Radicalization,
309,Malik Faisal Akram,Radicalization,
310,Al Shaabab,Radicalization,
311,Daesh,Radicalization,
312,Da’esh,Radicalization,
313,Al Qaida,Radicalization,
314,AL-NUSRAH FRONT,Radicalization,
315,AL-QA'IDA IN THE LANDS OF THE ISLAMIC MAGHREB,Radicalization,
316,Nasir al-Wahishi,Radicalization,
317,AQAP,Radicalization,
318,Imirat Kavkaz,Radicalization,
319,Abu Usman Gimrinskiy,Radicalization,
320,Magomed Suleymanov,Radicalization,
321,The Islamic Jihad Union,Radicalization,
322,IJU,Radicalization,
323,BOKO HARAM,Radicalization,
324,Abubakar Shekau,Radicalization,
325,SPF,Radicalization,
326,Group of Popular Rebels,Radicalization,
327,Zero Tolerance Organization,Radicalization,
328,LORD'S RESISTANCE ARMY,Radicalization,
329,LRA,Radicalization,
330,Joseph Kony,Radicalization,
331,Dominic Ongwen,Radicalization,
332,TEHRIK-E TALIBAN PAKISTAN,Radicalization,
333,TTP,Radicalization,
334,"Baitullah Mehsud,",Radicalization,
335,Hakimullah Mehsud,Radicalization,
336,Mullah Fazlullah,Radicalization,
337,Malala Yousafzai,Radicalization,
338,Lashkar-e-Jhangvi,Radicalization,
339,Sipah-i-Sahaba Pakistan,Radicalization,
340,Akram Lahori,Radicalization,
341,Qari Zafar group,Radicalization,
342,The Revolutionary People’s Liberation Party,Radicalization,
343,The Revolutionary People’s Liberation Front,Radicalization,
344,DHKP,Radicalization,
345,DHKC,Radicalization,
346,Devrimci Sol,Radicalization,
347,Dev Sol,Radicalization,
348,Kongra-Gel,Radicalization,
349,KGK,Radicalization,
350,"Kurdistan Workers’ Party,",Radicalization,
351,PKK,Radicalization,
352,ANSAR AL-SHARIA,Radicalization,
353,Partisans of Islamic Law.,Radicalization,
354,Abu Khalid al-Madani,Radicalization,
355,Ansar al-Sharia in Tunisia,Radicalization,
356,HEZB-E-ISLAMI GULBUDDIN,Radicalization,
357,HIG,Radicalization,
358,Party of Islam,Radicalization,
359,Ghairat Baheer,Radicalization,
360,Qutbuddin Hilal,Radicalization,
361,ISIS-DRC,Radicalization,
362,ISIS-Mozambique,Radicalization,
363,Harakat Sawa’d Misr,Radicalization,
364,Islamic Revolutionary Guard Corps,Radicalization,
365,IRGC,Radicalization,
366,Jama’at Nusrat al-Islam wal-Muslimin,Radicalization,
367,ISIS in the Greater Sahara,Radicalization,
368,ISIS-West Africa,Radicalization,
369,Revolutionary Armed Forces of Colombia,Radicalization,
370,FARC,Radicalization,
371,Islamic State’s Khorasan Province,Radicalization,
372,Hay’at Tahrir al-Sham,Radicalization,
373,Jabhat Fath al-Sham Amendment,Radicalization,
374,Hay’at Tahrir al-Sham Amendment,Radicalization,
375,ISIS-Sinai Province,Radicalization,
376,Sayyid Qutb,Radicalization,
377,Ansar Bayt al-Maqdis,Radicalization,
378,Ansar al-Shari’a in Benghazi,Radicalization,
379,al-Mulathamun Battalion,Radicalization,
380,Haqqani Network,Radicalization,
381,Jaish-e-Mohammed,Radicalization,
382,Al-Aqsa Martyrs Brigade,Radicalization,
383,Communist Party of the Philippines,Radicalization,
384,Lashkar i Jhangvi,Radicalization,
385,Islamic Jihad Union,Radicalization,
386,Kata’ib Hizballah,Radicalization,
387,Jemaah Anshorut Tauhid,Radicalization,
388,Khmer Rouge,Radicalization,
389,Manuel Rodriguez Patriotic Front Dissidents,Radicalization,
390,HTS,Radicalization,
391,Hayat Tahrir al-Sham,Radicalization,
392,Abdallah Azzam,Radicalization,
393,jihad,Radicalization,
394,Conspiracy theories,Radicalization,
395,weapons,Radicalization,
396,build a bomb,Radicalization,
397,plan an attack,Radicalization,
398,school attack,Radicalization,
399,anger,Radicalization,
400,ideology,Radicalization,
401,syria,Radicalization,
402,ukraine,Radicalization,
403,russia,Radicalization,
404,Libyan Islamic Fighting Group,Radicalization,
405,LIFG,Radicalization,
406,AAB,Radicalization,
407,ANO,Radicalization,
408,17 November,Radicalization,
409,17N,Radicalization,
410,AAB,Radicalization,
411,ANO,Radicalization,
412,ASG,Radicalization,
413,GI,Radicalization,
414,AIAI,Radicalization,
415,AQ,Radicalization,
416,AI,Radicalization,
417,AAS-B,Radicalization,
418,AAS-T,Radicalization,
419,AS,Radicalization,
420,ABM,Radicalization,
421,Ansaru,Radicalization,
422,GIA,Radicalization,
423,AWD,Radicalization,
424,BK,Radicalization,
425,ETA,Radicalization,
426,BLA,Radicalization,
427,BH,Radicalization,
428,EIJ,Radicalization,
429,FKD,Radicalization,
430,GIMF,Radicalization,
431,GICM,Radicalization,
432,HUJI,Radicalization,
433,HUJI-B,Radicalization,
434,HuM/A,Radicalization,
435,HM,Radicalization,
436,HQN,Radicalization,
437,Hasm,Radicalization,
438,IK,Radicalization,
439,IM,Radicalization,
440,IAA,Radicalization,
441,IJU,Radicalization,
442,IMU,Radicalization,
443,JeM,Radicalization,
444,JAD,Radicalization,
445,JNIM,Radicalization,
446,JuA,Radicalization,
447,JMB,Radicalization,
448,JuF,Radicalization,
449,JKI,Radicalization,
450,JI,Radicalization,
451,JAA,Radicalization,
452,JaK-A,Radicalization,
453,KaK,Radicalization,
454,LeT,Radicalization,
455,LTTE,Radicalization,
456,PIJ,Radicalization,
457,PKK,Radicalization,
458,PFLP-GC,Radicalization,
459,DHKP-C,Radicalization,
460,GSPC,Radicalization,
461,SSP,Radicalization,
462,SKD,Radicalization,
463,TNSM,Radicalization,
464,TTP,Radicalization,
465,TIP,Radicalization,
466,THKP-C,Radicalization,
467,Continuity,Radicalization,
468,Army,Radicalization,
469,Council,Radicalization,
470,Cumann,Radicalization,
471,na,Radicalization,
472,mBan,Radicalization,
473,Fianna,Radicalization,
474,na,Radicalization,
475,hÉireann,Radicalization,
476,Irish,Radicalization,
477,National,Radicalization,
478,Liberation,Radicalization,
479,Army,Radicalization,
480,Irish,Radicalization,
481,People's,Radicalization,
482,Liberation,Radicalization,
483,Organisation,Radicalization,
484,Irish,Radicalization,
485,Republican,Radicalization,
486,Army,Radicalization,
487,Loyalist,Radicalization,
488,Volunteer,Radicalization,
489,Force,Radicalization,
490,Orange,Radicalization,
491,Volunteers,Radicalization,
492,Red,Radicalization,
493,Hand,Radicalization,
494,Commando,Radicalization,
495,Red,Radicalization,
496,Hand,Radicalization,
497,Defenders,Radicalization,
498,Saor,Radicalization,
499,Éire,Radicalization,
500,Ulster,Radicalization,
501,Defence,Radicalization,
502,Association,Radicalization,
503,Ulster Freedom Fighters,Radicalization,
504,Ulster Volunteer Force,Radicalization,
505,CAC INLA IPLO IRA LVF UDA UFF UVF,Radicalization,
506,eco-terrorism,Radicalization,
507,incels,Radicalization,
508,involuntary celibates,Radicalization,
509,764,Radicalization,
510,Gay,Radicalization,
511,Homo,Radicalization,
512,Beefer,Radicalization,
513,Wap,Radicalization,
514,Nip,Radicalization,
515,Nigger,Radicalization,
516,antisemitism,Radicalization,
517,holocaust,Radicalization,
518,spick,Radicalization,
519,whitey,Radicalization,
520,nigga,Radicalization,
521,Adolf Hitler,Radicalization,
522,fenian,Radicalization,
523,war_against_ukraine,Radicalization,
524,𝗢𝗳𝗳-𝗚𝗿𝗶𝗱 𝗜𝗿𝗲𝗹𝗮𝗻𝗱 𝗖𝗵𝗮𝘁 𝗴𝗿𝗼𝘂𝗽,Radicalization,
525,paki,Radicalization,
526,Worthless fucking niggers and muslim men,Radicalization,
527,shabbos,Radicalization,
528,Muh Democracy,Radicalization,
529,Larry Murphy,Radicalization,
530,"I HATE THE FUCKING JEWS, FUCK THEM ALL",Radicalization,
531,Islamic culture,Radicalization,
532,non believers,Radicalization,
533,deport them all,Radicalization,
534,pig,Radicalization,
535,Radicalization,Radicalization,
536,Donate for the IDF,Radicalization,
537,patriots,Radicalization,
538,nazi,Radicalization,
539,third reiche,Radicalization,
540,3rd reiche,Radicalization,
541,NF,Radicalization,
542,National Front,Radicalization,
543,anti white,Radicalization,
544,EDL,Radicalization,
545,demographic fractures,Radicalization,
546,migrants,Radicalization,
547,exploitation,Radicalization,
548,mixed race,Radicalization,
549,Tommy Robinson,Radicalization,
550,Dogz Bollox Right Wing News (Official),Radicalization,
551,FOREIGN NATIONAL,Radicalization,
552,Noodlewhore,Radicalization,
553,Sheboon,Radicalization,
554,Negroid,Radicalization,
555,Abo,Radicalization,
556,Mongoloid,Radicalization,
557,Zog,Radicalization,
558,Ape,Radicalization,
559,Ethnicel,Radicalization,
560,Fairy,Radicalization,
561,Queer,Radicalization,
562,Dyke,Radicalization,
563,Les,Radicalization,
564,Sodomite,Radicalization,
565,Poof,Radicalization,
566,Fudgepacker,Radicalization,
567,Genderbender,Radicalization,
568,Nancy,Radicalization,
569,Queen,Radicalization,
570,Tranny,Radicalization,
571,HeShe,Radicalization,
572,109/110,Radicalization,
573,Blut und Ehre,Radicalization,
574,Blood and honor,Radicalization,
575,celtic cross,Radicalization,
576,dirlewanger,Radicalization,
577,Waffen SS,Radicalization,
578,Life Rune,Radicalization,
579,Elhaz Rune,Radicalization,
580,Algis RuneNazi,Radicalization,
581,Norse,Radicalization,
582,Sturmabteilung,Radicalization,
583,volksfront,Radicalization,
584,totenkopf,Radicalization,
585,deaths head,Radicalization,
586,Schutzstaffel,Radicalization,
587,wolfs angel,Radicalization,
588,wolfsangel,Radicalization,
589,dopplehaken,Radicalization,
590,wolfs hook,Radicalization,
591,zyklon b,Radicalization,
592,((())),Radicalization,
593,pepe the frog,Radicalization,
594,14 words,Radicalization,
595,AKIA,Radicalization,
596,A Klansman I Am,Radicalization,
597,American Front,Radicalization,
598,Anudda Shoah,Radicalization,
599,Western culture,Radicalization,
600,white race,Radicalization,
601,non-white,Radicalization,
602,Stephen Yaxley-Lennon,Radicalization,
603,white pride,Association with High-Risk Organisations,
604,stormfront,Association with High-Risk Organisations,
605,EDL,Association with High-Risk Organisations,
606,English Defence League,Association with High-Risk Organisations,
607,KKK,Association with High-Risk Organisations,
608,Klu Klux Klan,Association with High-Risk Organisations,
609,Terrorism,Association with High-Risk Organisations,
610,@PatriotsOnlyWesternConservative,Association with High-Risk Organisations,
611,Traditional Britain Group,Association with High-Risk Organisations,
612,Illegal Migrants,Association with High-Risk Organisations,
613,right-wing,Association with High-Risk Organisations,
614,supremacy,Association with High-Risk Organisations,
615,AHO ДИАЛОГ,Association with High-Risk Organisations,
616,АВТОНОМНАЯ,Association with High-Risk Organisations,
617,НЕКОММЕРЧЕСКАЯ,Association with High-Risk Organisations,
618,ОРГАНИЗАЦИЯ,Association with High-Risk Organisations,
619,ПО,Association with High-Risk Organisations,
620,РАЗВИТИЮ,Association with High-Risk Organisations,
621,ЦИФРОВЫХ,Association with High-Risk Organisations,
622,ПРОЕКТОВ,Association with High-Risk Organisations,
623,В,Association with High-Risk Organisations,
624,СФЕРЕ,Association with High-Risk Organisations,
625,ОБЩЕСТВЕННЫХ,Association with High-Risk Organisations,
626,СВЯЗЕЙ,Association with High-Risk Organisations,
627,И,Association with High-Risk Organisations,
628,КОММУНИКАЦИЙ,Association with High-Risk Organisations,
629,ДИАЛОГ,Association with High-Risk Organisations,
630,IRA,Association with High-Risk Organisations,
631,PIRA,Association with High-Risk Organisations,
632,RIRA,Association with High-Risk Organisations,
633,Republican Army,Association with High-Risk Organisations,
634,Sien Fein,Association with High-Risk Organisations,
635,Revolutionary Nuclei,Association with High-Risk Organisations,
636,UVF,Association with High-Risk Organisations,
637,UDA,Association with High-Risk Organisations,
638,RHC,Association with High-Risk Organisations,
639,Red Hand,Association with High-Risk Organisations,
640,ADLAryan,Association with High-Risk Organisations,
641,Knights​,Association with High-Risk Organisations,
642,1-11,Association with High-Risk Organisations,
643,Arayn Brotherhood,Association with High-Risk Organisations,
644,12,Association with High-Risk Organisations,
645,Aryan Circle,Association with High-Risk Organisations,
646,33/6,Association with High-Risk Organisations,
647,Aryan Terror Brigade,Association with High-Risk Organisations,
648,right wing,Association with High-Risk Organisations,
649,left wing,Association with High-Risk Organisations,
650,islamist,Association with High-Risk Organisations,
651,National Action,Association with High-Risk Organisations,
652,Sonnenkrieg Division,Association with High-Risk Organisations,
653,Feuerkrieg Division,Association with High-Risk Organisations,
654,International Sikh Youth Federation,Association with High-Risk Organisations,
655,ISYF,Association with High-Risk Organisations,
656,Hezb-e Islami Gulbuddin,Association with High-Risk Organisations,
